ID,RA,Dec,mu_eff,mu_std_eff,alpha,alpha_std,gamma,gamma_std,mu_king,mu_std_king,rc,rc_std,rt,rt_std,rfit,Tile
K38,14.4478,-73.4204,22.3619,0.0994,41.5947,20.4595,2.01,0.9625,22.4167,0.0999,64.9948,24.492,228.3073,124.9097,127,3_5
K4,5.761,-73.6702,22.5596,0.0748,14.6083,3.0662,2.0552,0.3396,22.6027,0.0747,17.57,2.4849,181.7811,88.2681,64,3_3
K42,15.142,-72.3658,17.7508,0.1262,2.647,0.4096,2.3111,0.1846,17.7262,0.1271,2.3716,0.2625,80.4485,36.9789,20,4_6
K43,15.2033,-73.3491,20.733,0.1239,7.7652,2.2423,2.01,0.4121,20.8667,0.1553,11.6161,3.0686,76.5218,35.63800000000001,40,3_5
K44,15.5264,-73.9253,22.7319,0.091,52.7283,20.3129,3.3496,1.4252,22.7341,0.0935,43.847,10.5385,254.1995,127.0737,127,3_6
K45w,15.6973,-73.7384,20.6267,0.1683,8.3359,3.2737,4.0606,1.6555,20.6769,0.1522,7.3826,1.6877,26.3945,4.0436,20,3_6
K47,15.7982,-72.2721,18.8779,0.1342,9.6081,2.4676,4.6468,1.1941,18.8555,0.1628,6.0373,1.1576,36.1681,6.3633,25,4_6
K5,6.1770000000000005,-73.7546,20.8544,0.059,14.1609,1.8086,2.5843,0.2557,20.8433,0.0579999999999999,12.2701,1.0016,187.5556,55.0976,64,3_3
K50,16.1512,-72.1611,19.7251,0.0842,11.1809,4.7879,3.0555,1.5891,19.7455,0.0837,11.3386,3.2238,41.1392,19.3686,20,4_6
K53,16.5568,-73.2973,20.6219,0.2314,7.5349,4.6471,2.01,0.9668,20.8981,0.0716,27.484,6.9666,33.9308,1.5783,32,3_6
K54,16.6988,-72.2725,19.6655,0.1638,16.9828,6.2396,5.1468,2.0362,19.6499,0.1878,10.1506,2.5199,56.1129,12.6988,40,4_6
K55,16.8846,-73.1217,20.8901,0.1648,8.8655,2.7625,2.298,0.4843,20.9344,0.1675,9.5853,2.0565,110.8753,55.0866,50,3_6
K56,16.867,-72.4927,20.607,0.1395,7.3307,2.5307,2.0782,0.5479,20.7046,0.1303,10.2555,2.3582,61.8577,24.3742,32,4_6
K57,17.0552,-73.2583,21.4144,0.1394,8.0373,4.698,2.01,1.1791,21.5443,0.1163,13.8228,7.0062,39.539,27.6715,20,3_6
K61,17.2663,-73.087,20.857,0.1781,6.5016,3.2457,2.01,0.8151,21.141,0.1211,16.5846,6.9958,33.2415,8.446,25,3_6
K63,17.6987,-72.7935,20.3908,0.2051,5.0717,2.219,2.01,0.611,20.5589,0.196,8.007,2.5617,45.1347,21.1019,25,4_6
K8,7.0067,-73.3039,21.9716,0.1119,8.102,2.1937,2.01,0.3953,22.0767,0.1308,11.3317,2.5681,86.3337,42.6953,40,3_3
K9,7.5033,-73.37899999999998,22.4402,0.1946,9.6048,4.5609,2.01,0.685,22.7971,0.1302,20.6383,6.8994,91.6677,48.5885,50,3_3
L14,8.1683,-72.5803,22.4326,0.1275,10.184,3.4584,2.28,0.636,22.4847,0.1335,12.2655,2.9655,78.9008,35.3678,40,4_4
L19,9.424,-73.9055,22.7244,0.1957,14.8017,13.6727,2.01,1.861,,,,,,,40,3_4
L28,10.7481,-72.589,19.3498,0.1177,5.4026,0.8277,2.7248,0.2452,19.3179,0.1039,4.3746,0.4077,73.3479,11.1156,40,4_4
L31,11.6503,-72.7419,20.3693,0.0773,5.7133,0.8197,2.2362,0.2146,20.3817,0.0766,5.6381,0.5416,124.3053,59.1221,32,4_5
L33,11.8541,-72.8415,20.1851,0.174,6.4929,2.0337,2.5789,0.5799,20.2128,0.1813,6.2533,1.3767,64.7046,27.5463,32,4_5
L48,13.3672,-71.3989,18.902,0.1352,9.5539,1.81,4.9514,0.8337,18.8457,0.179,5.224,0.8467,38.7468,3.6384,32,5_5
L51,13.7271,-72.1141,18.9205,0.1733,4.7598,1.5194,2.2069,0.4726,18.99,0.1737,5.55,1.2393,56.3236,27.659,26,4_5
L52,13.822,-73.5071,19.3827,0.0739,4.5647,0.5597,2.7426,0.2462,19.3528,0.0844,3.7076,0.3476,54.2947,14.1293,20,3_5
L56,14.3753,-72.2648,16.5799,0.1118,5.7271,0.6825,3.8961,0.3106,16.4612,0.1958,3.1773,0.4664,41.6478,4.0772,32,4_5
L65,15.2521,-72.7498,20.6476,0.3126,6.662000000000001,4.2652,2.01,0.8411,21.106,0.276,15.218,9.1706,72.4277,66.6518,40,4_6
L66,15.4374,-72.5643,17.3111,0.1232,7.0504,1.3962,4.6684,0.8746,17.2445,0.113,4.2916,0.4813,26.3246,2.0204,20,4_6
L80,16.8675,-72.7694,20.8722,0.1103,10.5667,3.0666,2.01,0.4379,20.969,0.1256,15.5216,3.6177,93.9504,37.2557,50,4_6
L91,18.213,-73.1198,21.8874,0.0888,15.0952,6.2564,2.8199,1.3258,21.9199,0.0902,17.172,5.0645,57.0752,22.5302,32,3_6
L93,18.2029,-73.4744,22.1192,0.0569,15.5395,3.663,3.3355,0.9052,22.1138,0.0584,12.6401,1.8385,77.6424,28.591,32,3_6
NGC152,8.2329,-73.1159,21.2025,0.0656,24.4253,4.402,2.509,0.376,21.2005,0.0668,22.07800000000001,2.592,319.9851,157.9372,100,3_3
NGC176,8.9929,-73.1659,20.1837,0.1115,16.4124,4.8736,4.122,1.2949,20.1722,0.1223,11.4113,2.2264,67.8719,18.5354,40,3_4
NGC220,10.128,-73.4027,19.5312,0.0932,11.3972,2.0247,2.5369,0.3162,19.5159,0.0968,9.6701,1.1712,200.044,96.4428,70,3_4
NGC222,10.1838,-73.3839,19.5384,0.1658,8.0076,2.4543,2.01,0.3617,19.6216,0.1732,10.5482,2.2485,132.2403,60.6954,70,3_4
NGC231,10.277,-73.3514,20.0784,0.1643,9.443,2.8776,2.01,0.3543,20.2523,0.1969,14.0478,3.5809,152.9095,74.0305,80,3_4
NGC241,10.8827,-73.4397,19.2192,0.1579,7.3836,1.9083,2.74,0.4893,19.1904,0.1638,5.9724,1.0627,91.8392,38.7189,40,3_4
NGC242,10.9026,-73.4436,19.1003,0.1866,4.5618,1.3192,2.01,0.3085,19.2697,0.1887,6.33,1.3298,86.7463,39.6459,40,3_4
NGC256,11.4753,-73.5069,18.4874,0.1096,14.1309,4.6777,8.2741,3.7232,18.5664,0.0852,9.912,1.3971,21.8532,0.8889,20,3_4
NGC265,11.7984,-73.4775,19.2198,0.0645,12.8032,1.6943,3.1647,0.3502,19.202,0.0717,9.7972,0.9267,96.6825,17.4416,50,3_4
NGC269,12.0892,-73.5303,19.0946,0.0388,6.9914,0.4554,2.5516,0.1115,19.0708,0.044,5.8783,0.2893,119.3875,20.451,40,3_5
NGC290,12.8113,-73.1615,17.2727,0.2178,2.3048,0.55,2.01,0.1842,17.488,0.2549,3.0717,0.6507,77.715,37.5903,32,3_5
NGC294,13.2736,-73.3803,18.7429,0.0341,11.421,0.7147,3.7645,0.2062,18.7063,0.0458,7.7657,0.4133,62.3154,3.9678,40,3_5
NGC299,13.3533,-72.197,17.1171,0.1237,6.5419,1.3905,3.9635,0.7635,17.0565,0.1197,4.3576,0.5605,30.6728,4.0421,20,4_5
NGC306,13.5617,-72.2418,18.6203,0.1701,8.2603,3.5207,3.744,1.6501,18.7504,0.1298,9.5789,2.2992,24.6517,2.9616,20,4_5
NGC330,14.0764,-72.4636,17.1011,0.0989,13.2569,1.8952,2.8995,0.2564,17.075,0.1156,9.7718,1.0972,185.6327,37.3895,100,4_5
NGC361,15.5451,-71.60600000000002,20.3828,0.0479,19.2407,2.2285,2.7125,0.258,20.3752,0.0442,16.5564,1.1277,196.7412,38.3805,80,5_6
NGC376,15.9732,-72.82600000000002,17.875,0.1872,12.5275,3.4606,4.0263,0.9019,17.8475,0.2198,7.9012,1.6927,69.4655,12.9536,50,4_6
NGC416,16.9963,-72.3552,18.5685,0.0904,9.2173,1.254,2.4394,0.1897,18.5404,0.1019,7.6125,0.7838,285.9848,136.6851,80,4_6
NGC419,17.073,-72.8844,18.1565,0.0419,15.0992,0.9125,2.8361,0.1026,18.1086,0.0559,10.9456,0.5878,240.3471,24.9538,127,4_6
OGLE132,15.5551,-72.9679,,,,,,,21.2925,0.2463,8.1704,6.2156,20.8474,15.1039,12,3_6
OGLE172,10.4508,-73.3919,20.869,0.347,3.2612,2.4377,5.296,4.6856,21.2175,0.0821,5.5329,1.5351,5.5357,0.2296,5,3_4
OGLE28,11.3667,-72.8199,20.8035,0.3004,1.8728,0.9361,2.01,0.6366,21.1882,0.2904,3.6751,1.9467,13.6496,8.0325,8,4_4
OGLE5,9.8419,-73.258,22.1553,0.2209,3.115,1.9665,4.1586,3.116,22.3807,0.0909,5.4752,2.0286,5.9607,0.4801,5,3_4
OGLE53,12.3182,-73.2116,20.326,0.1723,3.0179,2.1066,2.01,1.4533,20.5577,0.0769,8.0405,6.0042,10.2078,3.8915,6,3_5
OGLE6,9.8885,-73.1815,19.6217,0.6536,0.6414,0.3093,2.024,0.2247,20.3371,0.4171,1.1483,0.3702,14.306,6.1531,6,3_4
RZ140,15.6803,-71.4808,22.0379,0.2731,4.1462,2.156,2.01,0.6945,22.225,0.2572,6.5158,2.5484,36.3458,20.3033,20,5_6
RZ82,13.2911,-71.9957,21.7549,0.1204,4.2535,1.1985,2.6463,0.6624,21.8003,0.1235,4.3937,0.8914,26.7111,9.9975,12,4_5
