ID,rcore_eff,rcore_err_eff,L_eff,L_err_eff,rcore_king,rcore_err_king,c,c_err,rh_king,rh_err_king,L_king,L_err_king,logt,logt_inf,logt_sup,E(B-V),Z,Mass,Mass_sup,Mass_inf,log(M/L),log(t_rh)
H86-137,0.8484024928103346,0.153200943577981,4.279810580527517,1.0529506807406712,0.8959399218698899,0.1669059638951454,1.3440830340362702,0.2484743070116369,1.488181669953031,0.2634010452326769,3.8722124157396505,0.1632462377606151,9.13662,9.12857,9.15805,0.131343,0.002,3.517597006045576,0.2839877241600574,0.4689877241600574,-0.7622135744819412,7.502979963084536
H86-146,0.3614593780273929,0.1782290915234446,,,0.6029105861243522,0.2694471199473049,1.3177277387248028,0.4462048254029481,1.3790685536224625,0.4468476204178576,4.105360759230154,0.2593856211947655,,,,,,,,,,9999.99
H86-150,0.943080651804904,0.2828370898412724,,,1.5229463211839094,0.6286386479641408,0.7669386977590368,0.4102149377930043,1.848861137823521,0.5285693660912897,3.909176686326008,0.3101076815623753,7.62474,7.53268,7.7862,0.116503,0.004,2.9194891694061815,0.25921416924428214,0.44421416924428214,-2.72632372066145,7.314455120315888
H86-159,1.5896576090108858,0.4015126706413161,3.598207063500604,0.4307999398529997,1.999679711951552,0.7442383511621253,0.6228726643597232,0.3332887140856315,2.033747251605873,0.5690011404560978,3.5128798969504453,0.2954840954790561,,,,,,,,,,9999.99
H86-165,1.6861932834893791,0.6633426027697441,,,2.5082074524499616,1.389787314947375,0.6454024641598836,0.5609520530403477,2.5853746730548584,0.8815905024694456,3.786192880205902,0.3855788015940224,8.07723,7.81973,8.30898,0.100246,0.004,2.9399543274775306,0.270990218299572,0.455990218299572,-1.742909078801862,7.569703478561262
H86-174,1.2573043710184122,0.3184579850215852,4.644998751795018,2.488916104854286,1.7866060431171356,0.5718040406898535,0.7380888454939284,0.3280743858641614,2.0276854118097307,0.5120686098027342,3.851888351007559,0.2524048501430848,8.57564,8.49382,8.70107,0.19,0.002,2.915556005388263,0.3236509050409739,0.5086509050409739,-1.7294427464067552,7.438676885555397
H86-175,0.8863062502215395,0.1601306638797746,3.558433180069445,0.1881348767980847,1.2746533631339043,0.2823504764081848,0.358421927267447,0.0855643880291607,0.9486779280963312,0.1677131147666209,3.55044330926071,0.5130898496734968,,,,,,,,,,9999.99
H86-179,1.1520434024941302,0.5390259538873023,3.7235365286685167,0.8140039622558958,2.648114714944936,1.8808361698966287,0.2439616255596857,0.4117547738424665,1.6306349051623843,0.4341019892726089,3.5305778289892693,1.7319019338601775,,,,,,,,,,9999.99
H86-181,0.4877166251913075,0.1537243149477757,4.227585309791321,0.8120950900482431,0.5525670066173871,0.1843143073864802,1.1750545702757689,0.3196035082271286,1.0517292046307571,0.2880647811788954,4.014790870731245,0.2197058634478085,,,,,,,,,,9999.99
H86-182,2.2507571770701693,0.5927339156169148,4.43589662925926,0.7131792814073513,3.0972061162421665,1.1229824589514208,0.6405405730677542,0.3345351167316178,3.1945895725671987,0.7300159921976925,4.224712100511144,0.2903001561341763,,,,,,,,,,9999.99
