# from Cuevas-Otahola 2021MNRAS.500.4422C
ID R_g gamma gamma_minus gamma_plus R_c Rc_minus Rc_plus R_h Rh_minus Rh_plus R_t Rt_minus Rt_plus Mbound_M_ratio rho_0 rho_0_minus rho_0_plus Sigma_0 Sigma_0_minus Sigma_0_plus M M_minus M_plus L L_minus L_plus rho_h rho_h_minus rho_h_plus I_h I_h_minus I_h_plus sigma_p sigma_p_minus sigma_p_plus Reff_ini_Rjac_ini
D82	1.83	2.61	0.04	0.05	1.62	0.08	0.09	5.69	0.12	0.15	8.91	0.25	0.24	0.61	2.02	0.07	0.08	2.54	0.08	0.08	4.12	0.22	0.20	5.01	0.22	0.20	1.24	0.33	0.29	2.70	0.33	0.29	1.30	0.24	0.22	0.16
D84	2.35	3.36	0.08	0.08	1.61	0.08	0.08	2.99	0.08	0.08	8.51	0.18	0.18	0.84	2.07	0.10	0.09	2.59	0.15	0.14	3.96	0.08	0.07	4.84	0.08	0.07	1.91	0.03	0.02	3.09	0.03	0.02	1.32	0.14	0.14	0.07
D85	2.06	3.31	0.11	0.12	4.23	0.29	0.30	8.04	0.12	0.12	5.01	0.48	0.48	0.30	1.31	0.10	0.10	2.25	0.10	0.10	4.46	0.22	0.22	5.35	0.22	0.22	1.13	0.51	0.50	2.74	0.51	0.50	1.09	0.37	0.37	0.16
D87	2.89	2.98	0.07	0.06	1.11	0.09	0.08	2.54	0.14	0.12	10.20	0.26	0.24	0.85	2.08	0.09	0.09	2.43	0.13	0.13	3.56	0.19	0.18	4.44	0.19	0.18	1.72	0.07	0.07	2.83	0.07	0.07	0.96	0.23	0.21	0.06
D89	0.80	3.06	0.34	0.42	0.14	0.08	0.10	0.31	0.76	0.93	6.29	1.03	1.26	0.98	3.39	0.25	0.27	2.86	4.99	5.54	2.19	0.90	1.10	3.07	0.90	1.10	3.08	0.41	0.51	3.29	0.41	0.51	0.33	0.97	1.18	0.01
D92	2.38	2.31	0.03	0.04	1.48	0.06	0.11	15.16	0.25	0.35	13.75	0.31	0.64	0.48	2.24	0.06	0.08	2.72	0.04	0.05	4.45	0.29	0.62	5.33	0.29	0.62	0.28	1.32	2.91	2.17	1.32	2.91	1.55	0.30	0.63	0.26
D95	0.91	2.60	0.07	0.09	1.54	0.13	0.17	5.51	0.22	0.28	7.95	0.39	0.51	0.59	2.52	0.10	0.11	3.02	0.10	0.11	4.56	0.34	0.44	5.45	0.34	0.44	1.71	0.47	0.62	3.17	0.47	0.62	2.19	0.36	0.48	0.23
D98	1.90	2.83	0.05	0.06	1.03	0.06	0.09	2.68	0.11	0.14	19.14	0.18	0.27	0.89	3.21	0.07	0.09	3.53	0.09	0.12	4.63	0.14	0.23	5.52	0.14	0.23	2.73	0.05	0.11	3.86	0.05	0.11	3.30	0.16	0.25	0.05
D99	1.87	2.54	0.04	0.04	0.78	0.06	0.05	3.16	0.17	0.16	17.79	0.32	0.26	0.80	3.20	0.05	0.05	3.40	0.06	0.05	4.38	0.30	0.24	5.27	0.30	0.24	2.26	0.20	0.15	3.47	0.20	0.15	2.41	0.31	0.25	0.07
D101	2.53	3.82	0.10	0.13	1.56	0.11	0.13	2.52	0.09	0.11	7.17	0.25	0.30	0.88	2.01	0.11	0.12	2.52	0.18	0.20	3.81	0.09	0.11	4.69	0.09	0.11	1.98	0.02	0.01	3.09	0.02	0.01	1.19	0.19	0.23	0.06
D102	2.08	2.84	0.11	0.13	1.81	0.20	0.21	4.68	0.22	0.25	5.97	0.47	0.48	0.58	1.50	0.12	0.12	2.06	0.14	0.15	3.65	0.34	0.34	4.54	0.34	0.34	1.02	0.38	0.37	2.40	0.38	0.37	0.77	0.41	0.42	0.16
D108	1.05	2.89	0.08	0.11	1.49	0.12	0.13	3.68	0.15	0.19	9.89	0.30	0.31	0.77	2.77	0.10	0.12	3.26	0.14	0.15	4.66	0.22	0.21	5.55	0.22	0.21	2.34	0.17	0.13	3.62	0.17	0.13	2.84	0.26	0.27	0.12
D113	2.03	2.30	0.06	0.03	1.19	0.13	0.08	13.14	0.56	0.29	9.16	0.90	0.59	0.44	2.03	0.09	0.06	2.42	0.06	0.04	3.97	0.88	0.57	4.86	0.88	0.57	-0.01	3.47	2.32	1.82	3.47	2.32	0.98	0.89	0.58	0.30
D116	2.93	2.76	0.04	0.05	1.37	0.08	0.08	3.85	0.10	0.12	11.09	0.23	0.22	0.76	2.00	0.08	0.08	2.45	0.10	0.10	3.82	0.19	0.18	4.71	0.19	0.18	1.44	0.17	0.15	2.74	0.17	0.15	1.08	0.21	0.20	0.08
D118	3.31	2.98	0.05	0.03	1.46	0.07	0.04	3.35	0.08	0.05	9.23	0.17	0.09	0.79	1.73	0.08	0.06	2.21	0.11	0.08	3.57	0.12	0.06	4.46	0.12	0.06	1.37	0.07	0.04	2.61	0.07	0.04	0.84	0.14	0.08	0.07
D120	2.67	3.05	0.04	0.04	1.15	0.04	0.04	2.52	0.06	0.06	14.06	0.10	0.11	0.90	2.55	0.06	0.07	2.93	0.09	0.11	4.07	0.06	0.07	4.95	0.06	0.07	2.24	0.01	0.02	3.35	0.01	0.02	1.74	0.08	0.09	0.05
D121	2.12	3.39	0.07	0.09	2.34	0.10	0.13	4.30	0.07	0.09	7.39	0.19	0.25	0.71	1.92	0.09	0.09	2.60	0.11	0.12	4.29	0.09	0.11	5.18	0.09	0.11	1.77	0.08	0.09	3.11	0.08	0.09	1.48	0.15	0.19	0.09
D130	1.91	3.21	0.06	0.07	1.87	0.09	0.11	3.72	0.08	0.09	9.71	0.18	0.22	0.81	2.30	0.08	0.09	2.88	0.11	0.12	4.41	0.10	0.12	5.30	0.10	0.12	2.08	0.07	0.09	3.36	0.07	0.09	1.97	0.15	0.18	0.08
D131	2.21	2.70	0.06	0.07	1.14	0.09	0.11	3.47	0.16	0.19	7.87	0.30	0.36	0.71	1.90	0.09	0.10	2.27	0.11	0.11	3.51	0.26	0.31	4.39	0.26	0.31	1.26	0.19	0.23	2.51	0.19	0.23	0.81	0.28	0.34	0.12
D132	2.13	2.65	0.12	0.12	1.07	0.19	0.17	3.52	0.37	0.36	7.71	0.69	0.62	0.69	1.93	0.12	0.12	2.26	0.13	0.14	3.47	0.61	0.54	4.36	0.61	0.54	1.21	0.46	0.40	2.47	0.46	0.40	0.78	0.65	0.58	0.13
D133	2.53	3.14	0.06	0.05	1.48	0.08	0.06	3.07	0.09	0.07	7.40	0.18	0.14	0.79	1.76	0.09	0.08	2.24	0.12	0.11	3.58	0.11	0.08	4.47	0.11	0.08	1.50	0.05	0.04	2.70	0.05	0.04	0.87	0.15	0.11	0.09
D142	2.86	2.82	0.05	0.07	2.42	0.14	0.14	6.39	0.11	0.13	6.34	0.31	0.29	0.50	1.18	0.09	0.09	1.87	0.09	0.09	3.72	0.23	0.20	4.61	0.23	0.20	0.68	0.43	0.34	2.20	0.43	0.34	0.67	0.28	0.25	0.16
D147	3.59	3.34	0.07	0.05	1.84	0.11	0.07	3.45	0.09	0.06	8.14	0.23	0.16	0.80	1.61	0.09	0.08	2.18	0.13	0.11	3.67	0.12	0.08	4.56	0.12	0.08	1.44	0.08	0.06	2.68	0.08	0.06	0.87	0.19	0.13	0.07
D153	2.52	3.65	0.25	0.30	2.55	0.37	0.42	4.30	0.22	0.25	4.25	0.70	0.81	0.49	1.21	0.16	0.17	1.93	0.20	0.22	3.66	0.26	0.29	4.54	0.26	0.29	1.13	0.23	0.24	2.48	0.23	0.24	0.67	0.53	0.61	0.12
D155	1.53	2.60	0.11	0.13	1.62	0.21	0.22	5.82	0.34	0.38	5.45	0.63	0.63	0.48	1.62	0.12	0.13	2.14	0.13	0.13	3.73	0.55	0.53	4.62	0.55	0.53	0.82	0.83	0.77	2.29	0.83	0.77	0.80	0.59	0.58	0.26
